DG;Beobachtungseinheit;Landwirtschaftliche Betriebe Anzahl;Landwirtschaftlich genutzte Fläche ha;Bodennutzungsarten Ackerland insgesamt Landwirtschaftliche Betriebe Anzahl;Bodennutzungsarten Ackerland insgesamt Fläche ha;Bodennutzungsarten Dauerkulturen Landwirtschaftliche Betriebe  Anzahl;Bodennutzungsarten Dauerkulturen Fläche ha;Bodennutzungsarten Dauergrünland Landwirtschaftliche Betriebe Anzahl;Bodennutzungsarten Dauergrünland Landwirtschaftliche Betriebe Fläche Ha
8111;      Stuttgart  ;182;2475;91;1453;121;453;64;569
8115;      Böblingen ;555;22483;478;15160;73;88;486;7231
8116;      Esslingen ;629;20113;454;9929;162;394;508;9784
8117;      Göppingen ;706;27956;538;12209;63;144;666;15599
8118;      Ludwigsburg ;1121;32339;718;24113;628;2346;783;5869
8119;      Rems-Murr-Kreis ;1058;25335;619;11146;485;1753;829;12427
8121;Heilbronn  Stadt;158;4035;80;3089;112;703;83;241
8125;      Heilbronn ;1764;53758;922;40174;1214;6424;1083;7147
8126;      Hohenlohekreis ;1042;41834;733;30920;377;1695;862;9210
8127;      Schwäbisch Hall ;1803;75698;1484;49842;44;231;1658;25614
8128;      Main-Tauber-Kreis ;1268;67520;1047;57915;258;977;1088;8616
8135;      Heidenheim ;515;26160;475;17142;15;21;461;8993
8136;      Ostalbkreis ;1628;63405;1335;33645;51;509;1519;29241
8211;      Baden-Baden ;84;1448;16;506;67;255;50;688
8212;      Karlsruhe Stadt;66;2581;54;1810;10;102;47;668
8215;      Karlsruhe ;702;38067;512;28841;213;994;584;8226
8216;      Rastatt ;455;14607;241;9367;238;723;319;4510
8221;      Heidelberg ;66;1829;59;1512;19;85;40;231
8222;      Mannheim ;55;2907;49;2342;2;;39;
8225;      Neckar-Odenwald-Kreis ;802;45526;666;33511;90;993;743;11017
8226;      Rhein-Neckar-Kreis ;842;38680;631;29907;228;1171;632;7594
8231;      Pforzheim ;23;994;19;530;3;;15;
8235;      Calw ;431;17792;332;8166;30;50;405;9573
8236;      Enzkreis ;410;19564;302;11459;97;260;364;7841
8237;      Freudenstadt ;470;18752;320;9051;13;8;445;9690
8311;      Freiburg im Breisgau ;178;3458;83;1628;146;893;70;935
8315;      Breisgau-Hochschwarzwald ;2528;48692;808;18280;1400;6263;1498;24120
8316;      Emmendingen ;1186;22230;461;10096;596;2541;786;9582
8317;      Ortenaukreis ;3161;55914;1322;27536;2032;7308;2105;21040
8325;      Rottweil ;734;29873;567;16432;13;23;693;13414
8326;      Schwarzwald-Baar-Kreis ;954;38254;595;15053;17;25;933;23170
8327;      Tuttlingen ;416;23957;294;8379;6;8;398;15568
8335;      Konstanz ;791;33003;635;18252;144;1152;643;13596
8336;      Lörrach ;946;22750;341;6652;333;1460;807;14625
8337;      Waldshut ;1094;38061;678;14572;65;239;1060;23243
8415;      Reutlingen ;997;44221;819;20507;56;116;920;23591
8416;      Tübingen ;377;20031;315;12618;47;58;336;7352
8417;      Zollernalbkreis ;700;34459;427;12270;20;138;669;22049
8421;      Ulm ;107;4669;99;3992;8;15;89;661
8425;      Alb-Donau-Kreis ;1651;73794;1523;54674;50;111;1508;18999
8426;      Biberach ;1633;75205;1475;50709;39;167;1475;24321
8435;      Bodenseekreis ;1412;33060;808;13412;936;7958;1027;11681
8436;      Ravensburg ;2250;85956;1312;27058;221;1828;2149;57064
8437;      Sigmaringen ;1135;54619;960;34421;31;76;1083;20116
